roof_type,azimuth,southern_most_pitch,northern_most_pitch,pitch_change,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,45,15,20,1.0,8,14,10421.311129789148,0.7274525,1026735.0996355333
waffle,45,15,20,2.0,8,14,10415.423315501426,0.7425006,1045040.7797383441
waffle,45,15,20,0.5,8,16,9715.794770802453,0.7154536,943252.5944230482
waffle,45,15,20,1.0,8,16,9713.381568007655,0.72166353,949464.2597106596
waffle,45,15,20,2.0,8,16,9710.187328623671,0.74497366,977650.8197772506
waffle,45,15,20,0.5,8,20,8954.013737525454,0.7240198,879788.4852027582
waffle,45,15,20,1.0,8,20,8948.906959826922,0.7332723,888727.8170307763
waffle,45,15,20,2.0,8,20,8943.6199429155,0.74240863,897125.7049961018
waffle,45,15,20,0.5,12,4,16619.076783941266,0.69882023,1575634.0565312437
waffle,45,15,20,1.0,12,4,16616.98400641383,0.7075586,1592095.6168566672
waffle,45,15,20,2.0,12,4,16614.300444799697,0.7219865,1620672.6614668411
waffle,45,15,20,0.5,12,8,14893.827038164047,0.71038735,1435615.303629258
waffle,45,15,20,1.0,12,8,14888.20958269566,0.7181017,1447828.8838116238
waffle,45,15,20,2.0,12,8,14884.654864885897,0.72880656,1465705.1811522169
waffle,45,15,20,0.5,12,10,14074.419523210468,0.7134933,1362611.5049734365
waffle,45,15,20,1.0,12,10,14071.33543001214,0.721067,1374159.4337124976
waffle,45,15,20,2.0,12,10,14065.998346652696,0.73148704,1390308.9871965633
waffle,45,15,20,0.5,12,12,13178.240116855619,0.70631886,1262921.3970787392
waffle,45,15,20,1.0,12,12,13175.897007088055,0.71821296,1281594.1039701682
waffle,45,15,20,2.0,12,12,13168.68743857248,0.7292329,1297644.3634462755
waffle,45,15,20,0.5,12,14,12425.801482780054,0.71974885,1213596.0670251641
waffle,45,15,20,1.0,12,14,12423.69869196301,0.70988715,1194362.2372983682
waffle,45,15,20,2.0,12,14,12421.635954304387,0.7200928,1208556.3970430028
waffle,45,15,20,0.5,12,16,12122.458887487212,0.71261656,1172200.83090349
waffle,45,15,20,1.0,12,16,12120.015644823603,0.7200521,1181869.6877667024
waffle,45,15,20,2.0,12,16,12116.921538335668,0.7298229,1194729.278513324
waffle,45,15,20,0.5,12,20,10626.32322116122,0.7146949,1030483.2824717957
waffle,45,15,20,1.0,12,20,10624.070231000103,0.72135556,1037858.8599368578
waffle,45,15,20,2.0,12,20,10620.785872009676,0.73406637,1053498.4921838995
waffle,45,15,20,0.5,18,4,17207.55781402512,0.6985058,1630692.829316635
waffle,45,15,20,1.0,18,4,17206.356219272522,0.7067715,1646724.2154866275
waffle,45,15,20,2.0,18,4,17205.314837153604,0.7185853,1670371.597330233
waffle,45,15,20,0.5,18,8,16041.209840838681,0.6973643,1517629.0509990193
waffle,45,15,20,1.0,18,8,16039.667794239513,0.70545006,1532193.194111514
waffle,45,15,20,2.0,18,8,16037.685162897733,0.7169638,1553518.7106153555
waffle,45,15,20,0.5,18,10,15409.010788339547,0.6929899,1448637.402516151
waffle,45,15,20,1.0,18,10,15405.586243294649,0.70076823,1461775.2029689553
waffle,45,15,20,2.0,18,10,15404.134316301926,0.71166575,1480964.139646258
waffle,45,15,20,0.5,18,12,14880.889867994429,0.70620024,1425810.4474893578
waffle,45,15,20,1.0,18,12,14880.359163645368,0.71333,1437435.6502089668
waffle,45,15,20,2.0,18,12,14878.726997439757,0.72423685,1456020.8480771298
waffle,45,15,20,0.5,18,14,14378.232743114742,0.714267,1393461.823299848
waffle,45,15,20,1.0,18,14,14375.849580188758,0.72128844,1404231.2816705296
waffle,45,15,20,2.0,18,14,14374.99845057234,0.73499745,1427706.0738733185
waffle,45,15,20,0.5,18,16,13767.69243603115,0.72151446,1347994.8097881149
waffle,45,15,20,1.0,18,16,13766.811266545914,0.7291643,1359585.4825075099
waffle,45,15,20,2.0,18,16,13766.04024324633,0.74051595,1377461.5408742188
waffle,45,15,20,0.5,18,20,12631.584597451709,0.71132904,1219234.0086316639
waffle,45,15,20,1.0,18,20,12631.424384818032,0.71844447,1229053.8025901401
waffle,45,15,20,2.0,18,20,12631.334265211584,0.7392941,1261873.5487159546
