roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
waffle,-45,30,18,16,14029.104707546132,0.60551,1202760.7010926113
waffle,-45,30,18,20,12770.788776218316,0.6162505,1114487.2109965628
waffle,-45,45,18,4,13838.921985998279,0.46577734,902992.0413317936
waffle,-45,45,18,8,13252.123081275098,0.47777122,887381.7207575215
waffle,-45,45,18,10,13273.720645262605,0.4904762,912880.5723867104
waffle,-45,45,18,12,12505.099689334442,0.48478657,849873.2925655833
waffle,-45,45,18,14,12173.576581487252,0.50366807,860114.0870772038
waffle,-45,45,18,16,12269.759335156237,0.48533046,834830.8309074203
waffle,-45,45,18,20,11292.271812339144,0.5094379,807131.5497181031
waffle,0,15,8,4,15669.978880538629,0.744278,1633352.0487761872
waffle,0,15,8,8,13486.522234241049,0.7275685,1374094.9394356122
waffle,0,15,8,10,12122.551460448614,0.73733795,1251769.4955501177
waffle,0,15,8,12,11461.0071615823,0.73026264,1172062.8173975102
waffle,0,15,8,14,10630.897730713343,0.7241242,1077997.0449302115
waffle,0,15,8,16,9450.96183225257,0.76278114,1009662.1395388077
waffle,0,15,8,20,9003.19036191351,0.75430596,951118.8430220751
waffle,0,30,8,4,15580.394548134256,0.58145845,1324754.2286101056
waffle,0,30,8,8,13454.631533591903,0.5964297,1173775.8214555425
waffle,0,30,8,10,12119.29730732115,0.5953513,1055351.0383458342
waffle,0,30,8,12,11454.709123683298,0.59952027,1004532.9386060255
waffle,0,30,8,14,10641.080726807591,0.59843886,931481.1794457622
waffle,0,30,8,16,9469.05492364127,0.6452996,894348.3839323544
waffle,0,30,8,20,9013.243191882659,0.61583203,812132.6442963758
waffle,0,45,8,4,13494.762751237675,0.4995829,982727.7066105147
waffle,0,45,8,8,12074.249815258194,0.5068877,892343.4061664883
waffle,0,45,8,10,10926.134527994593,0.5194222,827766.0209246586
waffle,0,45,8,12,10451.458720875546,0.5116382,779762.5879393355
waffle,0,45,8,14,9722.167960284854,0.5128455,727089.257239794
waffle,0,45,8,16,8656.798277468524,0.55744964,704520.183344265
waffle,0,45,8,20,8297.049146032654,0.5384579,651951.1015473459
waffle,0,15,12,4,16649.92954695374,0.71819913,1674466.2284958416
waffle,0,15,12,8,14920.041769951533,0.7229397,1510440.8866320224
waffle,0,15,12,10,14037.795799591175,0.7322654,1439530.4011824264
waffle,0,15,12,12,13132.700667886593,0.73930824,1359712.4304478252
waffle,0,15,12,14,12633.19316921028,0.7274134,1286876.752490087
waffle,0,15,12,16,12531.573476623718,0.7343513,1288745.7300124047
waffle,0,15,12,20,10451.65897645262,0.7549596,1105097.415578406
waffle,0,30,12,4,16528.814973938952,0.56610215,1367856.405419964
waffle,0,30,12,8,14845.296375808397,0.5795713,1258109.0523324583
waffle,0,30,12,10,13986.149886263607,0.59853923,1224503.632983198
waffle,0,30,12,12,13100.15913661195,0.6096759,1168478.0214750317
waffle,0,30,12,14,12615.881074572171,0.5939462,1095974.758550295
waffle,0,30,12,16,12497.630156309555,0.60830295,1112201.883812145
waffle,0,30,12,20,10441.866478733666,0.6177084,943749.1496998826
waffle,0,45,12,4,14209.064381884324,0.47592458,984934.876394278
waffle,0,45,12,8,13087.172562438656,0.48594585,926605.851076864
