roof_type,azimuth,pitch,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
sawtooth,0,45,8,4,10263.76918126227,0.5868305,879822.7741062186
sawtooth,0,45,8,8,8594.97938082556,0.65403676,821831.6426563311
sawtooth,0,45,8,10,7707.07619041284,0.6617161,745628.5928256293
sawtooth,0,45,8,12,6974.200854992511,0.68139535,694874.4495576995
sawtooth,0,45,8,14,6528.892528251471,0.7023817,670594.7091790085
sawtooth,0,45,8,16,5924.481145524571,0.704637,610471.9747829442
sawtooth,0,45,8,20,5064.343390873261,0.71890515,532421.5156650249
sawtooth,0,15,12,4,13074.786754996585,0.7384812,1352197.1006691162
sawtooth,0,15,12,8,10476.680910808107,0.77258575,1133647.0986849002
sawtooth,0,15,12,10,9729.337109944128,0.7956159,1084170.5814652578
sawtooth,0,15,12,12,8950.543170700566,0.7768694,973883.4339939518
sawtooth,0,15,12,14,7967.859015658386,0.80785406,901528.9572135842
sawtooth,0,15,12,16,7676.797547159144,0.80514807,865690.5773780021
sawtooth,0,15,12,20,6462.92834116306,0.818009,740429.8397893626
sawtooth,0,30,12,4,12128.639229991684,0.6521394,1157765.1125425426
sawtooth,0,30,12,8,10330.714620678347,0.6828464,1032816.8958851495
sawtooth,0,30,12,10,9728.846483780295,0.7052599,1004677.0502103762
sawtooth,0,30,12,12,8990.954746154244,0.69674677,917237.7815837569
sawtooth,0,30,12,14,8007.26931322669,0.7373865,864615.3596341031
sawtooth,0,30,12,16,7695.060855788358,0.7446971,839141.6530600291
sawtooth,0,30,12,20,6481.191649792274,0.7553692,716892.845134201
sawtooth,0,45,12,4,10696.321227743652,0.6101078,953610.7554431795
sawtooth,0,45,12,8,9792.477693395786,0.62104,888799.0625289396
sawtooth,0,45,12,10,9351.625053244656,0.64404935,880449.7545922515
sawtooth,0,45,12,12,8764.005100655471,0.64157045,821930.6841515835
sawtooth,0,45,12,14,7885.814305730876,0.6752392,778579.2598064177
sawtooth,0,45,12,16,7639.189549784513,0.70018023,782171.2859970877
sawtooth,0,45,12,20,6495.129437956674,0.71210957,676381.0097576109
sawtooth,0,15,18,4,14077.896978900388,0.7108001,1401144.625895234
sawtooth,0,15,18,8,12117.865479945067,0.7393236,1254666.237277876
sawtooth,0,15,18,10,11670.53457187557,0.7757869,1268067.2191363869
sawtooth,0,15,18,12,10417.405259993991,0.7948402,1159712.9093366694
sawtooth,0,15,18,14,9956.947598847248,0.76754683,1070373.2465414233
sawtooth,0,15,18,16,9559.430265575089,0.7935347,1062451.9645731037
sawtooth,0,15,18,20,8324.80456901521,0.8152203,950491.4810928268
sawtooth,0,30,18,4,12818.840101937392,0.62969863,1181256.175444958
sawtooth,0,30,18,8,11596.460033915635,0.64759016,1099194.2009020932
sawtooth,0,30,18,10,11386.051499083233,0.6861268,1143814.6510596788
sawtooth,0,30,18,12,10317.898263745567,0.72106045,1089426.132660157
sawtooth,0,30,18,14,9907.594611877184,0.68636674,995641.8554317441
sawtooth,0,30,18,16,9565.528047897013,0.7127693,998353.2469693325
sawtooth,0,30,18,20,8341.736178056877,0.7547622,921949.2363584995
sawtooth,0,45,18,4,11520.54314464661,0.5950933,1001595.4851305501
sawtooth,0,45,18,8,10663.619492007352,0.5925633,923115.8193214472
sawtooth,0,45,18,10,10780.23832731681,0.63401574,999041.9276509644
sawtooth,0,45,18,12,9941.978494460913,0.65672207,954551.782474926
sawtooth,0,45,18,14,9556.075984659086,0.6305635,880739.8726847069
sawtooth,0,45,18,16,9309.79166319375,0.6615413,900445.7813113923
sawtooth,0,45,18,20,8231.835917358274,0.7048241,848452.6611456842
sawtooth,45,15,8,4,11718.716063719747,0.7115445,1122868.78449343
sawtooth,45,15,8,8,8724.915212010488,0.73847,867838.1115831702
sawtooth,45,15,8,10,7887.196069212692,0.7365982,782513.984090937
sawtooth,45,15,8,12,7265.592745193927,0.75989777,743750.8065175501
sawtooth,45,15,8,14,6339.530854569622,0.7415342,633201.7955926919
