azimuth,southern_most_pitch,northern_most_pitch,pitch_change,panel_width,gap,viable_pv_area_m2,avg_fractional_sun,estimated_annual_yield_kwh
45,15,20,2.0,8,20,5301.536181349244,0.73573935,526905.4672162319
45,15,20,0.5,12,4,13403.579186125773,0.6459936,1173911.7644431228
45,15,20,1.0,12,4,13410.378209767545,0.65188396,1182976.1033017489
45,15,20,2.0,12,4,13409.997704762556,0.6671569,1208033.8352253088
45,15,20,0.5,12,8,10729.880662255777,0.70337105,1024008.5089953372
45,15,20,1.0,12,8,10726.03555904747,0.7069671,1026787.7815516308
45,15,20,2.0,12,8,10721.910083730225,0.71868545,1041008.3391024277
45,15,20,0.5,12,10,9590.608624161167,0.70477474,917085.7304153907
45,15,20,1.0,12,10,9589.206763616472,0.70693433,918013.1908027552
45,15,20,2.0,12,10,9587.08394622022,0.71766305,929594.0393906377
45,15,20,0.5,12,12,8773.804564504882,0.72654974,865054.9665656316
45,15,20,1.0,12,12,8771.121002890752,0.7277,864549.3543393948
45,15,20,2.0,12,12,8767.876697058742,0.7372617,873648.961257788
45,15,20,0.5,12,14,7776.881451434467,0.73532706,776074.7555845525
45,15,20,1.0,12,14,7776.28065405817,0.74159133,781270.1191613986
45,15,20,2.0,12,14,7776.28065405817,0.7508589,789157.3680094124
45,15,20,0.5,12,16,7705.907254714469,0.7237637,756913.2359381132
45,15,20,1.0,12,16,7704.405261273723,0.7242381,755685.1427182558
45,15,20,2.0,12,16,7702.082178085371,0.7327857,762370.5909645599
45,15,20,0.5,12,20,6538.037261508076,0.7520554,667326.4755185443
45,15,20,1.0,12,20,6537.536597027826,0.7519001,665817.0507411725
45,15,20,2.0,12,20,6536.37505543365,0.76155835,672796.7855324246
45,15,20,0.5,18,4,14182.533011075288,0.6602154,1269754.846037228
45,15,20,1.0,18,4,14256.381021911911,0.66380316,1280834.0567959389
45,15,20,2.0,18,4,14330.89992315207,0.67969155,1315417.9460659404
45,15,20,0.5,18,8,12009.93955219621,0.6883726,1121389.918895063
45,15,20,1.0,18,8,12009.338754819913,0.6933775,1127448.2929058648
45,15,20,2.0,18,8,12009.338754819913,0.7066987,1146585.2887708799
45,15,20,0.5,18,10,11265.070965062001,0.7128834,1089716.9315569974
45,15,20,1.0,18,10,11263.568971621256,0.71594226,1092128.0190036388
45,15,20,2.0,18,10,11261.245888432904,0.72759545,1106998.799721825
45,15,20,0.5,18,12,10329.54934384924,0.72353697,1014112.0292873416
45,15,20,1.0,18,12,10329.549343849238,0.7260738,1015816.2295674091
45,15,20,2.0,18,12,10329.54934384924,0.73479354,1025823.1163019139
45,15,20,0.5,18,14,9726.388831204507,0.7420435,979414.0256803257
45,15,20,1.0,18,14,9725.888166724259,0.74337465,979236.7256186953
45,15,20,2.0,18,14,9724.726625130083,0.75315297,989934.0579293128
45,15,20,0.5,18,16,9571.062682852275,0.71138364,923924.9252878109
45,15,20,1.0,18,16,9570.461885475977,0.71300983,924196.014729252
45,15,20,2.0,18,16,9570.461885475976,0.72134143,932710.8170257446
45,15,20,0.5,18,20,8170.64405186015,0.71465373,792464.1233780716
45,15,20,1.0,18,20,8170.644051860149,0.7153927,791755.2203492736
45,15,20,2.0,18,20,8170.64405186015,0.7231958,798449.607927605
